"Volgnummer","id_geo","Plaats","Straat","Huisnummer","Toevoeging","Kad. gemeente","Kad. sectie","Kadastraal perceelnr.","Bram","dubbel_bram","geometry","geopackage","dubbel_geo"
"62902","51452","Andijk","Veenakkers","14","A","Andijk","K","3995","JA",False,"0101000020E61000005D02D6189DC01440413C893F9C5B4A40","JA",False
"62907","51457","Andijk","Nieuwe Dijk","15","A","Andijk","K","4262","JA",False,"0101000020E61000009A08091C56BB1440DB6F52194D5C4A40","JA",False
"62909","51459","Andijk","Nieuwe Dijk","9","B","Andijk","K","4170","JA",False,"0101000020E6100000F433BD5906C1144081FEB0657A5C4A40","JA",False
"62911","51461","Andijk","Nieuwe Dijk","9","A","Andijk","K","4632","JA",False,"0101000020E6100000E7D994A21BC31440B20F2C9E8A5C4A40","JA",False
"62914","51465","Andijk","Nieuwe Dijk","1","A","Andijk","K","4113","JA",False,"0101000020E6100000B1EBF72793C914404CECB5D1BC5C4A40","JA",False
"62915","51465","Andijk","Nieuwe Dijk","1","B","Andijk","K","4113","JA",False,"0101000020E6100000B1EBF72793C914404CECB5D1BC5C4A40","JA",False
"62916","51465","Andijk","Nieuwe Dijk","1","C","Andijk","K","4113","JA",False,"0101000020E6100000B1EBF72793C914404CECB5D1BC5C4A40","JA",False
"62917","51465","Andijk","Nieuwe Dijk","1","D","Andijk","K","4113","JA",False,"0101000020E6100000B1EBF72793C914404CECB5D1BC5C4A40","JA",False
"62918","51465","Andijk","Nieuwe Dijk","1","E","Andijk","K","4113","JA",False,"0101000020E6100000B1EBF72793C914404CECB5D1BC5C4A40","JA",False
"62919","51465","Andijk","Nieuwe Dijk","1","F","Andijk","K","4113","JA",False,"0101000020E6100000B1EBF72793C914404CECB5D1BC5C4A40","JA",False
"62920","51465","Andijk","Nieuwe Dijk","1","G","Andijk","K","4113","JA",False,"0101000020E6100000B1EBF72793C914404CECB5D1BC5C4A40","JA",False
"62921","51465","Andijk","Nieuwe Dijk","1","H","Andijk","K","4113","JA",False,"0101000020E6100000B1EBF72793C914404CECB5D1BC5C4A40","JA",False
"62930","51474","Andijk","Gedeputeerde Laanweg","4","A","Andijk","K","4051","JA",False,"0101000020E6100000712CF7AC63B71440BAF09CDA215D4A40","JA",False
"62936","51480","Andijk","Kadijkweg","2","a","Andijk","K","2752","JA",False,"0101000020E6100000E8499EF728C114406C0038185D5E4A40","JA",False
"62939","51483","Andijk","Kadijkweg","6","A","Andijk","K","4225","JA",False,"0101000020E6100000E2655711DDC114409326EB23E95D4A40","JA",False
"62940","51483","Andijk","Kadijkweg","6","B","Andijk","K","4225","JA",False,"0101000020E6100000E2655711DDC114409326EB23E95D4A40","JA",False
"62941","51483","Andijk","Kadijkweg","6","C","Andijk","K","4225","JA",False,"0101000020E6100000E2655711DDC114409326EB23E95D4A40","JA",False
"62942","51483","Andijk","Kadijkweg","6","D","Andijk","K","4225","JA",False,"0101000020E6100000E2655711DDC114409326EB23E95D4A40","JA",False
"62943","51483","Andijk","Kadijkweg","6","E","Andijk","K","4225","JA",False,"0101000020E6100000E2655711DDC114409326EB23E95D4A40","JA",False
"62944","51483","Andijk","Kadijkweg","6","F","Andijk","K","4225","JA",False,"0101000020E6100000E2655711DDC114409326EB23E95D4A40","JA",False
"62945","51483","Andijk","Kadijkweg","6","G","Andijk","K","4225","JA",False,"0101000020E6100000E2655711DDC114409326EB23E95D4A40","JA",False
"62946","51483","Andijk","Kadijkweg","6","H","Andijk","K","4225","JA",False,"0101000020E6100000E2655711DDC114409326EB23E95D4A40","JA",False
"62947","51483","Andijk","Kadijkweg","6","K","Andijk","K","4225","JA",False,"0101000020E6100000E2655711DDC114409326EB23E95D4A40","JA",False
"62948","51483","Andijk","Kadijkweg","6","M","Andijk","K","4225","JA",False,"0101000020E6100000E2655711DDC114409326EB23E95D4A40","JA",False
"62996","51531","Andijk","Dijkweg","391","A","Andijk","K","1126","JA",False,"0101000020E6100000442423022CB31440DE70AF4F445E4A40","JA",False
"62997","51531","Andijk","Dijkweg","391","B","Andijk","K","1126","JA",False,"0101000020E6100000442423022CB31440DE70AF4F445E4A40","JA",False
"62998","51531","Andijk","Dijkweg","391","C","Andijk","K","1126","JA",False,"0101000020E6100000442423022CB31440DE70AF4F445E4A40","JA",False
"62999","51531","Andijk","Dijkweg","391","D","Andijk","K","1126","JA",False,"0101000020E6100000442423022CB31440DE70AF4F445E4A40","JA",False
"63000","51531","Andijk","Dijkweg","391","E","Andijk","K","1126","JA",False,"0101000020E6100000442423022CB31440DE70AF4F445E4A40","JA",False
"63001","51531","Andijk","Dijkweg","391","F","Andijk","K","1126","JA",False,"0101000020E6100000442423022CB31440DE70AF4F445E4A40","JA",False
"63003","51532","Andijk","Dijkweg","390","A","Andijk","K","1125","JA",False,"0101000020E6100000D5D79B0B57B31440CFE19609475E4A40","JA",False
"63004","51532","Andijk","Dijkweg","390","B","Andijk","K","1125","JA",False,"0101000020E6100000D5D79B0B57B31440CFE19609475E4A40","JA",False
"63005","51532","Andijk","Dijkweg","390","C","Andijk","K","1125","JA",False,"0101000020E6100000D5D79B0B57B31440CFE19609475E4A40","JA",False
"63006","51532","Andijk","Dijkweg","390","D","Andijk","K","1125","JA",False,"0101000020E6100000D5D79B0B57B31440CFE19609475E4A40","JA",False
"63007","51532","Andijk","Dijkweg","390","E","Andijk","K","1125","JA",False,"0101000020E6100000D5D79B0B57B31440CFE19609475E4A40","JA",False
"63037","51558","Andijk","Kleingouw","180","E","Andijk","K","4803","JA",False,"0101000020E6100000546A415C5DB91440710038185D5E4A40","JA",False
"63038","51559","Andijk","Kleingouw","180","D","Andijk","K","4802","JA",False,"0101000020E6100000EE8547FFA3B91440A8F71F285E5E4A40","JA",False
"63039","51560","Andijk","Kleingouw","180","C","Andijk","K","4807","JA",False,"0101000020E6100000A174EFDFDFB91440F75AE7255F5E4A40","JA",False
"63040","51561","Andijk","Kleingouw","180","B","Andijk","K","4895","JA",False,"0101000020E61000002C8D6E7868BA14406622C3BD605E4A40","JA",False
"63041","51562","Andijk","Kleingouw","180","a","Andijk","K","3165","JA",False,"0101000020E61000003C9F2C8507BB144042D4C6135F5E4A40","JA",False
"63042","51563","Andijk","Kleingouw","179","a","Andijk","K","3164","JA",False,"0101000020E6100000F7AC148AB5BB14400B44105A605E4A40","JA",False
"63043","51564","Andijk","Kleingouw","177","a","Andijk","K","3162","JA",False,"0101000020E61000004B4C72E468BC1440D10A352E5F5E4A40","JA",False
"63058","51579","Andijk","Kleingouw","159","a","Andijk","K","1969","JA",False,"0101000020E61000005B48D21C73BF14408A32904D7A5E4A40","JA",False
"63112","51633","Andijk","Hogelandje","1","a","Andijk","K","2727","JA",False,"0101000020E6100000FA23B7CF56B514409B12B805285E4A40","JA",False
"63123","51644","Andijk","Bangert","34","A","Andijk","K","2978","JA",False,"0101000020E61000004235209AC8B8144010CF3C761A5E4A40","JA",False
"63209","51714","Andijk","Gerrit de Vriesweg","16","A","Andijk","K","4100","JA",False,"0101000020E6100000E63AF2E596D1144034E8C0ED745D4A40","JA",False
"63215","51720","Andijk","Kadijkweg","41","a","Andijk","K","3953","JA",False,"0101000020E61000002A6FADBA50D114404B511894115C4A40","JA",False
"63222","51727","Andijk","Kadijkweg","21","B","Andijk","K","2001","JA",False,"0101000020E610000008E0A69E00CC14401D4B0836FE5C4A40","JA",False
"63228","51733","Andijk","Vleetweg","10","A","Andijk","K","891","JA",False,"0101000020E6100000FAE2090A09E61440B33871F1BC5C4A40","JA",False
"63229","51733","Andijk","Vleetweg","10","B","Andijk","K","891","JA",False,"0101000020E6100000FAE2090A09E61440B33871F1BC5C4A40","JA",False
"63230","51733","Andijk","Vleetweg","10","C","Andijk","K","891","JA",False,"0101000020E6100000FAE2090A09E61440B33871F1BC5C4A40","JA",False
"63231","51733","Andijk","Vleetweg","10","D","Andijk","K","891","JA",False,"0101000020E6100000FAE2090A09E61440B33871F1BC5C4A40","JA",False
"63232","51733","Andijk","Vleetweg","10","E","Andijk","K","891","JA",False,"0101000020E6100000FAE2090A09E61440B33871F1BC5C4A40","JA",False
"63233","51733","Andijk","Vleetweg","10","F","Andijk","K","891","JA",False,"0101000020E6100000FAE2090A09E61440B33871F1BC5C4A40","JA",False
"63236","51735","Andijk","Vleetweg","1","a","Andijk","K","3104","JA",False,"0101000020E6100000721D3B3FABD914403E98B1B2C25C4A40","JA",False
"63239","51738","Andijk","Cornelis Kuinweg","10","A","Andijk","K","3917","JA",False,"0101000020E61000005BFF429921DC14409DD2A998805D4A40","JA",False
"63250","51753","Andijk","Gerrit de Vriesweg","15","A","Andijk","K","3984","JA",False,"0101000020E6100000630B5BDCB0D11440E2FD5523C05D4A40","JA",False
"63254","51757","Andijk","Gedeputeerde Laanweg","34","A","Andijk","K","3570","JA",False,"0101000020E6100000A2FD942D5ED81440F4F5D8124B5E4A40","JA",False
"63256","51759","Andijk","Gedeputeerde Laanweg","44","A","Andijk","K","3528","JA",False,"0101000020E6100000D5AAB54593E21440031638F7735E4A40","JA",False
"63261","51764","Andijk","Kadijkweg","1","a","Andijk","K","3752","JA",False,"0101000020E61000000A214557AFC214403D3D369D4E5E4A40","JA",False
"63264","51767","Andijk","Kleingouw","156","A","Andijk","K","1210","JA",False,"0101000020E6100000FEB316153DC11440EFDE6E74835E4A40","JA",False
"63307","51810","Andijk","Kleingouw","91","a","Andijk","K","3912","JA",False,"0101000020E6100000B2B79BC169CD144061DFA1D1D75E4A40","JA",False
"63331","51834","Andijk","Gedeputeerde Laanweg","29","A","Andijk","K","2972","JA",False,"0101000020E61000001C80FE5ACAD31440055F0CF5435E4A40","JA",False
"63332","51834","Andijk","Gedeputeerde Laanweg","29","B","Andijk","K","2972","JA",False,"0101000020E61000001C80FE5ACAD31440055F0CF5435E4A40","JA",False
"63333","51834","Andijk","Gedeputeerde Laanweg","29","C","Andijk","K","2972","JA",False,"0101000020E61000001C80FE5ACAD31440055F0CF5435E4A40","JA",False
"63334","51834","Andijk","Gedeputeerde Laanweg","29","D","Andijk","K","2972","JA",False,"0101000020E61000001C80FE5ACAD31440055F0CF5435E4A40","JA",False
"63335","51834","Andijk","Gedeputeerde Laanweg","29","E","Andijk","K","2972","JA",False,"0101000020E61000001C80FE5ACAD31440055F0CF5435E4A40","JA",False
"63336","51835","Andijk","Gedeputeerde Laanweg","29","F","Andijk","K","953","JA",False,"0101000020E610000037B2CEAB8BD3144021038A204D5E4A40","JA",False
"63337","51835","Andijk","Gedeputeerde Laanweg","29","G","Andijk","K","953","JA",False,"0101000020E610000037B2CEAB8BD3144021038A204D5E4A40","JA",False
"63338","51835","Andijk","Gedeputeerde Laanweg","29","H","Andijk","K","953","JA",False,"0101000020E610000037B2CEAB8BD3144021038A204D5E4A40","JA",False
"63339","51835","Andijk","Gedeputeerde Laanweg","29","K","Andijk","K","953","JA",False,"0101000020E610000037B2CEAB8BD3144021038A204D5E4A40","JA",False
"63340","51835","Andijk","Gedeputeerde Laanweg","29","M","Andijk","K","953","JA",False,"0101000020E610000037B2CEAB8BD3144021038A204D5E4A40","JA",False
"63359","51854","Andijk","Kleingouw","38","a","Andijk","K","3532","JA",False,"0101000020E6100000E37B80421FDA144062E21742475F4A40","JA",False
"63385","51880","Andijk","Kleingouw","5","a","Andijk","K","2712","JA",False,"0101000020E6100000D4752FD073E114409CE465225F5F4A40","JA",False
"63411","51906","Andijk","Dijkgraaf Grootweg","18","A","Andijk","L","2424","JA",False,"0101000020E610000038A09B8F3BE41440969CA065FD5E4A40","JA",False
"63413","51908","Andijk","Dijkgraaf Grootweg","20","A","Andijk","L","2424","JA",False,"0101000020E6100000314EEF9342E41440DB770F1DF95E4A40","JA",False
"63415","51910","Andijk","Dijkgraaf Grootweg","22","A","Andijk","L","2424","JA",False,"0101000020E61000007E8B09EF4BE4144094020D04F45E4A40","JA",False
"63417","51912","Andijk","Dijkgraaf Grootweg","24","A","Andijk","L","2424","JA",False,"0101000020E610000062B867B156E414408CFE69B2EF5E4A40","JA",False
"63423","51917","Andijk","Gedeputeerde Laanweg","47","B","Andijk","L","1570","JA",False,"0101000020E6100000B24ED8A39AE3144009FECD68BF5E4A40","JA",False
"63424","51917","Andijk","Gedeputeerde Laanweg","47","C","Andijk","L","1570","JA",False,"0101000020E6100000B24ED8A39AE3144009FECD68BF5E4A40","JA",False
"63425","51917","Andijk","Gedeputeerde Laanweg","47","D","Andijk","L","1570","JA",False,"0101000020E6100000B24ED8A39AE3144009FECD68BF5E4A40","JA",False
"63426","51918","Andijk","Gedeputeerde Laanweg","47","E","Andijk","L","1570","JA",False,"0101000020E61000000D55639699E41440F4CAC03C9E5E4A40","JA",False
"63427","51919","Andijk","Gedeputeerde Laanweg","47","a","Andijk","L","1570","JA",False,"0101000020E6100000F8DA17F0DEE31440CECF8135915E4A40","JA",False
"63429","51921","Andijk","Gedeputeerde Laanweg","39","A","Andijk","L","2926","JA",False,"0101000020E6100000A640D874F4E11440A690E8648C5E4A40","JA",False
"63430","51921","Andijk","Gedeputeerde Laanweg","39","B","Andijk","L","2926","JA",False,"0101000020E6100000A640D874F4E11440A690E8648C5E4A40","JA",False
"63431","51922","Andijk","Gedeputeerde Laanweg","39","C","Andijk","L","2927","JA",False,"0101000020E61000008F0B1C66EAE11440D4E5BB9D915E4A40","JA",False
"63432","51923","Andijk","Gedeputeerde Laanweg","39","D","Andijk","L","2928","JA",False,"0101000020E61000003EA52B8DE4E11440FA0CE137945E4A40","JA",False
"63434","51924","Andijk","Gedeputeerde Laanweg","39","E","Andijk","L","2929","JA",False,"0101000020E6100000574FF74CDDE1144056F12CA0965E4A40","JA",False
"63435","51925","Andijk","Gedeputeerde Laanweg","39","F","Andijk","L","2931","JA",False,"0101000020E61000002EC21B7AD3E114407303E38B995E4A40","JA",False
"63436","51926","Andijk","Gedeputeerde Laanweg","39","G","Andijk","L","2932","JA",False,"0101000020E6100000E438C8EBD7E114402FDBA8809C5E4A40","JA",False
"63437","51927","Andijk","Gedeputeerde Laanweg","39","H","Andijk","L","2933","JA",False,"0101000020E6100000B459401DD5E11440D153E5799D5E4A40","JA",False
"63438","51928","Andijk","Gedeputeerde Laanweg","39","K","Andijk","L","2934","JA",False,"0101000020E61000007322998AD2E11440D2D5A9779E5E4A40","JA",False
"63439","51929","Andijk","Gedeputeerde Laanweg","41","A","Andijk","L","2945","JA",False,"0101000020E610000034566B4F34E21440932FC8528C5E4A40","JA",False
"63440","51929","Andijk","Gedeputeerde Laanweg","41","B","Andijk","L","2945","JA",False,"0101000020E610000034566B4F34E21440932FC8528C5E4A40","JA",False
"63441","51930","Andijk","Gedeputeerde Laanweg","41","C","Andijk","L","2944","JA",False,"0101000020E6100000D4975BB22EE21440228E1B778E5E4A40","JA",False
"63442","51931","Andijk","Gedeputeerde Laanweg","41","D","Andijk","L","2942","JA",False,"0101000020E610000007A0B9FE2DE21440D012A5D8915E4A40","JA",False
"63443","51931","Andijk","Gedeputeerde Laanweg","41","E","Andijk","L","2942","JA",False,"0101000020E610000007A0B9FE2DE21440D012A5D8915E4A40","JA",False
"63444","51932","Andijk","Gedeputeerde Laanweg","41","F","Andijk","L","2941","JA",False,"0101000020E610000039F4507E1FE21440E26A4E4C955E4A40","JA",False
"63445","51934","Andijk","Gedeputeerde Laanweg","41","G","Andijk","L","2939","JA",False,"0101000020E6100000509E1C3E18E21440C2CEAFDF985E4A40","JA",False
"63446","51935","Andijk","Gedeputeerde Laanweg","41","H","Andijk","L","2938","JA",False,"0101000020E61000006848E8FD10E21440F47270B29A5E4A40","JA",False
"63447","51936","Andijk","Gedeputeerde Laanweg","41","K","Andijk","L","2937","JA",False,"0101000020E61000007DC9DD3F0DE2144017A0BB1A9D5E4A40","JA",False
"63448","51937","Andijk","Gedeputeerde Laanweg","41","M","Andijk","L","2936","JA",False,"0101000020E6100000924AD38109E21440D8A1B0339E5E4A40","JA",False
"63449","51938","Andijk","Gedeputeerde Laanweg","41","N","Andijk","L","2935","JA",False,"0101000020E61000003FBB0C2B07E214400807ED2C9F5E4A40","JA",False
"63586","52061","Andijk","Meander","80","A","Andijk","L","1565","JA",False,"0101000020E61000007BFB2B1D1ADD144089656C3CE65E4A40","JA",False
"63587","52062","Andijk","Meander","80","B","Andijk","L","1716","JA",False,"0101000020E6100000FD0A4C2F53DD144063609AA4E45E4A40","JA",False
"63598","52073","Andijk","Meander","9","A","Andijk","L","1818","JA",False,"0101000020E610000059CF3348EADD1440D3C099D20C5F4A40","JA",False
"63599","52074","Andijk","Meander","9","B","Andijk","L","1818","JA",False,"0101000020E610000060ACD092F4DD144062BE21D70C5F4A40","JA",False
"63600","52075","Andijk","Meander","9","C","Andijk","L","1818","JA",False,"0101000020E610000045D92E55FFDD1440AFAA61FB0C5F4A40","JA",False
"63601","52076","Andijk","Meander","9","D","Andijk","L","1818","JA",False,"0101000020E61000007FBE29EC08DE1440C296A11F0D5F4A40","JA",False
"63602","52077","Andijk","Meander","9","E","Andijk","L","1818","JA",False,"0101000020E610000064EB87AE13DE14405073115F0D5F4A40","JA",False
"63603","52078","Andijk","Meander","9","F","Andijk","L","1818","JA",False,"0101000020E61000008D7863811DDE1440254F819E0D5F4A40","JA",False
"63604","52079","Andijk","Meander","9","G","Andijk","L","1818","JA",False,"0101000020E610000083FDE00728DE1440843749C70D5F4A40","JA",False
"63605","52080","Andijk","Meander","9","H","Andijk","L","1818","JA",False,"0101000020E6100000E1921A2731DE1440422AF1DD0D5F4A40","JA",False
"63606","52081","Andijk","Meander","9","J","Andijk","L","2182","JA",False,"0101000020E61000002FD034823ADE14402812770D0A5F4A40","JA",False
"63607","52082","Andijk","Meander","9","K","Andijk","L","2183","JA",False,"0101000020E6100000C88EEB8031DE1440C436D7B2095F4A40","JA",False
"63608","52083","Andijk","Meander","9","L","Andijk","L","2184","JA",False,"0101000020E6100000C1B14E3627DE14409340EB99095F4A40","JA",False
"63609","52084","Andijk","Meander","9","M","Andijk","L","2185","JA",False,"0101000020E6100000D5D8E0911CDE1440A64EAB75095F4A40","JA",False
"63610","52085","Andijk","Meander","9","N","Andijk","L","2186","JA",False,"0101000020E6100000B4F714A112DE1440E85F5B48095F4A40","JA",False
"63611","52086","Andijk","Meander","9","P","Andijk","L","2187","JA",False,"0101000020E6100000152B34EF06DE1440F874B70F095F4A40","JA",False
"63612","52087","Andijk","Meander","9","Q","Andijk","L","2188","JA",False,"0101000020E6100000A63DDB0BFEDD1440F48233E9085F4A40","JA",False
"63613","52088","Andijk","Meander","9","R","Andijk","L","2189","JA",False,"0101000020E61000000CF433BEF5DD1440D4974BAE085F4A40","JA",False
"63614","52089","Andijk","Meander","9","S","Andijk","L","2190","JA",False,"0101000020E61000004A771484EADD144016AC6373085F4A40","JA",False
"63615","52090","Andijk","Meander","9","T","Andijk","L","2191","JA",False,"0101000020E6100000E75EA100DEDD14403AB53358085F4A40","JA",False
"63651","52126","Andijk","Meilag","20","A","Andijk","L","1715","JA",False,"0101000020E6100000C4EE26E3C9DE14408224143FFB5E4A40","JA",False
"63652","52127","Andijk","Meilag","20","B","Andijk","L","1715","JA",False,"0101000020E610000049B7D8EED5DE1440B31AD41AFB5E4A40","JA",False
"63674","52149","Andijk","Meilag","17","A","Andijk","L","1714","JA",False,"0101000020E610000036CFFDAEFFDE1440C1EB1C36015F4A40","JA",False
"63675","52150","Andijk","Meilag","17","B","Andijk","L","1444","JA",False,"0101000020E610000045FE46F502DF144099E94473005F4A40","JA",False
"63696","52171","Andijk","Meilag","57","A","Andijk","L","1433","JA",False,"0101000020E6100000C91411A37DDE1440904A42C70B5F4A40","JA",False
"63697","52172","Andijk","Meilag","57","B","Andijk","L","1432","JA",False,"0101000020E6100000973589D47ADE14400FD949A50C5F4A40","JA",False
"63703","52178","Andijk","Meilag","67","A","Andijk","L","1558","JA",False,"0101000020E610000075DFAD3282DE144084FC99951A5F4A40","JA",False
"63704","52179","Andijk","Meilag","67","B","Andijk","L","1815","JA",False,"0101000020E610000091B24F7077DE1440A636C2631A5F4A40","JA",False
"63705","52180","Andijk","Meilag","67","C","Andijk","L","1816","JA",False,"0101000020E6100000C78920546CDE14408F75622D1A5F4A40","JA",False
"63706","52181","Andijk","Meilag","67","D","Andijk","L","1816","JA",False,"0101000020E610000028BD3FA260DE14409D8FBA161A5F4A40","JA",False
"63769","52244","Andijk","Rose Précocestraat","2","A","Andijk","L","2776","JA",False,"0101000020E61000000ADC5AD895E31440148277EB085F4A40","JA",False
"63770","52245","Andijk","Rose Précocestraat","2","B","Andijk","L","2776","JA",False,"0101000020E6100000C8A4B34593E31440FB2A4BD0095F4A40","JA",False
"63771","52246","Andijk","Rose Précocestraat","2","C","Andijk","L","2776","JA",False,"0101000020E61000004AB99E8491E314407BC962B70A5F4A40","JA",False
"63772","52247","Andijk","Rose Précocestraat","2","D","Andijk","L","2776","JA",False,"0101000020E6100000CBCD89C38FE3144029675A8C0B5F4A40","JA",False
"63773","52248","Andijk","Rose Précocestraat","2","E","Andijk","L","2776","JA",False,"0101000020E6100000453665208EE3144088FB95630C5F4A40","JA",False
"63774","52249","Andijk","Rose Précocestraat","2","F","Andijk","L","2776","JA",False,"0101000020E6100000C64A505F8CE314408974CD5C0D5F4A40","JA",False
"63775","52250","Andijk","Rose Précocestraat","2","G","Andijk","L","2776","JA",False,"0101000020E61000007C6799EA89E3144009EC28460E5F4A40","JA",False
"63819","52294","Andijk","Proserpinestraat","2","A","Andijk","L","2229","JA",False,"0101000020E6100000EF2BE1207AE11440EE9F3D121E5F4A40","JA",False
"63820","52295","Andijk","Proserpinestraat","2","B","Andijk","L","2228","JA",False,"0101000020E6100000C8C7DBCB6CE114400ABE95FB1D5F4A40","JA",False
"63821","52296","Andijk","Proserpinestraat","2","C","Andijk","L","2227","JA",False,"0101000020E6100000074BBC9161E11440F3FFBDC91D5F4A40","JA",False
"63822","52297","Andijk","Proserpinestraat","2","D","Andijk","L","2226","JA",False,"0101000020E61000008A2E1A6855E114408A35F6A01D5F4A40","JA",False
"63823","52298","Andijk","Proserpinestraat","2","E","Andijk","L","2225","JA",False,"0101000020E61000001F6A970249E114401B59C6851D5F4A40","JA",False
"63824","52299","Andijk","Proserpinestraat","2","F","Andijk","L","2224","JA",False,"0101000020E61000003B3D39403EE11440518886611D5F4A40","JA",False
"63825","52300","Andijk","Proserpinestraat","2","G","Andijk","L","2223","JA",False,"0101000020E6100000E1D0D59E31E114404CB7463D1D5F4A40","JA",False
"63826","52301","Andijk","Proserpinestraat","2","H","Andijk","L","2222","JA",False,"0101000020E6100000535C14B125E1144080F76E0B1D5F4A40","JA",False
"63827","52302","Andijk","Proserpinestraat","2","J","Andijk","L","2221","JA",False,"0101000020E61000008087D5B21AE11440443797D91C5F4A40","JA",False
"63828","52303","Andijk","Proserpinestraat","2","K","Andijk","L","2220","JA",False,"0101000020E6100000271B72110EE11440093D0FD51C5F4A40","JA",False
"63829","52304","Andijk","Proserpinestraat","2","L","Andijk","L","2219","JA",False,"0101000020E610000034BFCA0800E114409476BFA71C5F4A40","JA",False
"63935","52410","Andijk","Witte Valkstraat","2","A","Andijk","L","1221","JA",False,"0101000020E6100000F03FA82004E0144068B9BE61385F4A40","JA",False
"63936","52411","Andijk","Witte Valkstraat","2","B","Andijk","L","2200","JA",False,"0101000020E61000003FA698F909E01440B8370164375F4A40","JA",False
"63937","52412","Andijk","Witte Valkstraat","2","C","Andijk","L","2201","JA",False,"0101000020E6100000BD91ADBA0BE014408E78A77A365F4A40","JA",False
"63938","52413","Andijk","Witte Valkstraat","2","D","Andijk","L","2202","JA",False,"0101000020E61000000775642F0EE01440B6E0E97C355F4A40","JA",False
"63939","52414","Andijk","Witte Valkstraat","2","E","Andijk","L","2203","JA",False,"0101000020E6100000A810B8780FE01440BEF79F9C345F4A40","JA",False
"63940","52415","Andijk","Witte Valkstraat","2","F","Andijk","L","2204","JA",False,"0101000020E6100000EA475F0B12E014409B2A7AAC335F4A40","JA",False
"63941","52416","Andijk","Witte Valkstraat","2","G","Andijk","L","2205","JA",False,"0101000020E61000004683354414E01440773E64C5325F4A40","JA",False
"63942","52417","Andijk","Witte Valkstraat","2","H","Andijk","L","2206","JA",False,"0101000020E6100000B3162B4116E01440E452C6D9315F4A40","JA",False
"63956","52431","Andijk","Murillolaan","2","A","Andijk","L","2209","JA",False,"0101000020E6100000F32E682B38E114401234C4613C5F4A40","JA",False
"63957","52432","Andijk","Murillolaan","2","B","Andijk","L","2210","JA",False,"0101000020E610000012B6D0353BE11440D7D48E683B5F4A40","JA",False
"63958","52433","Andijk","Murillolaan","2","C","Andijk","L","2211","JA",False,"0101000020E6100000BCFD33613CE11440E216118F3A5F4A40","JA",False
"63959","52434","Andijk","Murillolaan","2","D","Andijk","L","2212","JA",False,"0101000020E610000088F5D5143DE11440FE6783AC395F4A40","JA",False
"63960","52435","Andijk","Murillolaan","2","E","Andijk","L","2213","JA",False,"0101000020E6100000CA2C7DA73FE11440A6D25DBC385F4A40","JA",False
"63961","52436","Andijk","Murillolaan","2","F","Andijk","L","2214","JA",False,"0101000020E61000002E1463C241E11440CE10D0D9375F4A40","JA",False
"63962","52437","Andijk","Murillolaan","2","G","Andijk","L","2215","JA",False,"0101000020E6100000B5AB876543E114405D67AAE9365F4A40","JA",False
"63963","52438","Andijk","Murillolaan","2","H","Andijk","L","2216","JA",False,"0101000020E61000004D9BCBCC44E1144096B384F9355F4A40","JA",False
"64019","52494","Andijk","Keizerskroon","1","A","Andijk","L","1702","JA",False,"0101000020E6100000993CB5E370E21440F7CD296D575F4A40","JA",False
"64067","52498","Andijk","Keizerskroon","96","A","Andijk","L","2198","JA",False,"0101000020E610000090D523EE73DF1440F893F2E2485F4A40","JA",False
"64068","52499","Andijk","Keizerskroon","96","B","Andijk","L","2197","JA",False,"0101000020E61000002DBDB06A67DF1440611C3207495F4A40","JA",False
"64069","52500","Andijk","Keizerskroon","96","C","Andijk","L","2196","JA",False,"0101000020E61000000DDCE4795DDF14400BE606CA485F4A40","JA",False
"64070","52501","Andijk","Keizerskroon","96","D","Andijk","L","2195","JA",False,"0101000020E6100000E34E09A753DF1440BD98A793485F4A40","JA",False
"64071","52502","Andijk","Keizerskroon","96","E","Andijk","L","2194","JA",False,"0101000020E61000003CD6181348DF14408D683854485F4A40","JA",False
"64072","52503","Andijk","Keizerskroon","96","F","Andijk","L","2193","JA",False,"0101000020E610000023A15C043EDF14407C21951B485F4A40","JA",False
"64073","52504","Andijk","Keizerskroon","96","G","Andijk","L","2192","JA",False,"0101000020E61000001DC4BFB933DF144092E869DE475F4A40","JA",False
"64108","52539","Andijk","Grootslagweg","18","B","Andijk","L","673","JA",False,"0101000020E6100000EFF12C3007F31440B52D675A0F5C4A40","JA",False
"64117","52548","Andijk","Grootslagweg","23","C","Andijk","L","3134","JA",False,"0101000020E61000001F07223D10F81440CFD754D8265C4A40","JA",False
"64118","52549","Andijk","Grootslagweg","23","B","Andijk","L","3134","JA",False,"0101000020E61000000D91BE6AFFF71440770A9ADF285C4A40","JA",False
"64119","52550","Andijk","Grootslagweg","23","A","Andijk","L","3134","JA",False,"0101000020E6100000FB1A5B98EEF71440CFD754D8265C4A40","JA",False
"64122","52553","Andijk","Grootslagweg","19","B","Andijk","L","2293","JA",False,"0101000020E610000077B6355DE4F3144073D45F0D205C4A40","JA",False
"64123","52553","Andijk","Grootslagweg","19","C","Andijk","L","2293","JA",False,"0101000020E610000077B6355DE4F3144073D45F0D205C4A40","JA",False
"64124","52553","Andijk","Grootslagweg","19","D","Andijk","L","2293","JA",False,"0101000020E610000077B6355DE4F3144073D45F0D205C4A40","JA",False
"64125","52553","Andijk","Grootslagweg","19","E","Andijk","L","2293","JA",False,"0101000020E610000077B6355DE4F3144073D45F0D205C4A40","JA",False
